Brix,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
0,1.33299,1.33313,1.33327,1.33342,1.33356,1.33370,1.33385,1.33399,1.33413,1.33428
1,1.33442,1.33456,1.33471,1.33485,1.33500,1.33514,1.33529,1.33543,1.33558,1.33572
2,1.33587,1.33601,1.33616,1.33630,1.33645,1.33659,1.33674,1.33688,1.33703,1.33717
3,1.33732,1.33747,1.33761,1.33776,1.33791,1.33805,1.33820,1.33835,1.33849,1.33864
4,1.33879,1.33893,1.33908,1.33923,1.33938,1.33952,1.33967,1.33982,1.33997,1.34012
5,1.34026,1.34041,1.34056,1.34071,1.34086,1.34101,1.34116,1.34131,1.34146,1.34160
6,1.34175,1.34190,1.34205,1.34220,1.34235,1.34250,1.34265,1.34280,1.34295,1.34310
7,1.34325,1.34341,1.34356,1.34371,1.34386,1.34401,1.34416,1.34431,1.34446,1.34461
8,1.34477,1.34492,1.34507,1.34522,1.34537,1.34553,1.34568,1.34583,1.34598,1.34614
...
85,1.50398,1.50425,1.50452,1.50479,1.50506,1.50533,1.50560,1.50587,1.50614,1.50641
